instructor_id,department_id,first_name,last_name,email,hire_date,position,salary,is_tenured
1,2,Maria,Lee,maria.lee1@university.example,2011-02-01,Professor,107799.55,false
2,1,Laura,Wilson,laura.wilson2@university.example,2011-05-27,Lecturer,46304.02,false
3,10,Olga,Clark,olga.clark3@university.example,2012-02-27,Assistant Professor,43665.95,true
4,5,Maria,Johnson,maria.johnson4@university.example,2019-09-20,Assistant Professor,70410.10,false
5,6,John,Garcia,john.garcia5@university.example,2013-12-26,Associate Professor,93614.01,true
6,10,John,Wilson,john.wilson6@university.example,2018-03-06,Associate Professor,53072.20,false
7,5,James,Johnson,james.johnson7@university.example,2017-09-05,Professor,107428.15,true
8,4,Alex,Garcia,alex.garcia8@university.example,2014-07-02,Professor,45295.09,false
9,4,Laura,Lee,laura.lee9@university.example,2019-12-03,Lecturer,51429.73,true
10,4,James,Wilson,james.wilson10@university.example,2012-12-12,Researcher,74274.71,false
11,6,Anna,Smith,anna.smith11@university.example,2015-09-19,Lecturer,47272.75,true
12,2,John,Smith,john.smith12@university.example,2018-11-19,Lecturer,87712.72,false
13,7,Kate,Taylor,kate.taylor13@university.example,2015-12-08,Professor,117686.27,true
14,2,James,Brown,james.brown14@university.example,2018-08-15,Professor,48924.17,false
15,3,Laura,Ivanov,laura.ivanov15@university.example,2018-02-05,Professor,117751.05,true
16,9,Maria,Brown,maria.brown16@university.example,2019-06-10,Researcher,88717.62,true
17,6,John,Wilson,john.wilson17@university.example,2018-09-25,Researcher,113479.48,false
18,8,Alex,Petrova,alex.petrova18@university.example,2014-01-26,Professor,59156.18,true
19,10,Maria,Petrova,maria.petrova19@university.example,2018-03-17,Lecturer,105281.86,true
20,3,Laura,Wilson,laura.wilson20@university.example,2011-11-08,Professor,82213.90,false
21,4,James,Johnson,james.johnson21@university.example,2017-12-30,Professor,71919.38,false
22,8,James,Taylor,james.taylor22@university.example,2011-05-11,Associate Professor,57975.79,false
23,1,Kate,Wilson,kate.wilson23@university.example,2012-07-31,Researcher,57617.39,true
24,1,Anna,Petrova,anna.petrova24@university.example,2010-05-09,Professor,45668.59,true
25,5,Laura,Johnson,laura.johnson25@university.example,2016-01-18,Associate Professor,97868.21,false
26,4,Laura,Lee,laura.lee26@university.example,2012-02-19,Assistant Professor,47754.47,false
27,6,Dmitri,Lee,dmitri.lee27@university.example,2015-03-28,Assistant Professor,93869.16,true
28,1,Dmitri,Garcia,dmitri.garcia28@university.example,2018-12-24,Assistant Professor,59892.51,true
29,9,Laura,Smith,laura.smith29@university.example,2014-09-25,Associate Professor,62283.61,true
30,2,Laura,Wilson,laura.wilson30@university.example,2011-02-06,Assistant Professor,92171.59,true
31,2,Anna,Smith,anna.smith31@university.example,2014-07-23,Lecturer,78508.67,false
32,1,John,Lee,john.lee32@university.example,2010-01-09,Lecturer,61216.24,false
